0  0  0  6  3  11 0  10 9  15 0  0  14 4  0  0

0  0  16 9  13 0  12 6  0  14 7  0  3  0  10 0

0  7  13 10 4  0  0  0  6  0  0  0  9  16 0  5

14 0  0  0  0  0  0  0  5  0  0  0  0  0  0  0

0  0  0  0  10 15 0  3  1  6  0  5  0  0  9  4

8  0  0  0  11 7  0  0  10 3  13 0  0  0  0  0

16 6  0  0  0  0  13 0  8  11 4  14 0  0  0  10

0  1  0  13 6  0  0  2  0  0  0  0  0  8  3  0

0  4  2  0  0  0  0  0  7  0  0  16 1  0  11 0

3  0  0  0  1  2  9  15 0  13 0  0  0  0  5  7

0  0  0  0  0  16 7  13 0  0  15 11 0  0  0  6

13 12 0  0  5  0  10 11 3  0  1  9  0  0  0  0

0  0  0  0  0  0  0  9  0  0  0  0  0  0  0  3

2  0  3  15 0  0  0  4  0  0  0  12 5  10 8  0

0  9  0  8  0  5  15 0  13 16 0  6  11 7  0  0

0  0  12 11 0  0  3  8  4  0  5  2  6  0  0  0
